sep=\t
Module Resource Usage Distribution Estimates
Generated at: May 01, 2024 13:11:16

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        ADDs	        LUTs	      RAMs	 DSP/MULTs
               +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=2)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	
    +uart_write_ctrl:uart_ctrl                              	     12(12)	       0(0)	     14(14)	     0(0)	     0(0)	
    +uarttx:uart_tx                                         	     80(80)	       0(0)	   191(191)	     0(0)	     0(0)	
    +uartrx:uart_rx                                         	     81(81)	       0(0)	   261(261)	     0(0)	     0(0)	
    +uart_rd_fifo:uart_fifo                                 	     104(0)	      30(0)	      48(0)	     1(0)	     0(0)	
     +u_efx_fifo_top:efx_fifo_top_64aa9fb1cea442bcb9c67251c1cac8c6_renamed_due_excessive_length_3	     104(4)	      30(0)	      48(0)	     1(0)	     0(0)	
      +xefx_fifo_ram:efx_fifo_ram_64aa9fb1cea442bcb9c67251c1cac8c6(OUTPUT_REG=0,RAM_MUX_RATIO=1)	       0(0)	       0(0)	       0(0)	     1(1)	     0(0)	
      +xefx_fifo_ctl:efx_fifo_ctl_64aa9fb1cea442bcb9c67251c1cac8c6(SYNC_CLK=0,PROGRAMMABLE_FULL="STATIC_SINGLE",PROG_FULL_ASSERT=128,PROG_FULL_NEGATE=128,PROG_EMPTY_NEGATE=2)	    100(60)	     30(30)	     48(12)	     0(0)	     0(0)	
       +genblk7.xrd2wr_bin2gray:efx_fifo_bin2gray_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=10)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	
       +genblk7.xrd2wr_addr_sync:efx_fifo_datasync_64aa9fb1cea442bcb9c67251c1cac8c6(STAGE=2,WIDTH=10)	     20(20)	       0(0)	       0(0)	     0(0)	     0(0)	
       +genblk7.xrd2wr_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=10)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=9)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=8)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=7)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=6)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=4)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	
              +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=3)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	
               +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=2)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	
       +genblk7.wr2rd_bin2gray:efx_fifo_bin2gray_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=10)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	
       +genblk7.wr2rd_addr_sync:efx_fifo_datasync_64aa9fb1cea442bcb9c67251c1cac8c6(STAGE=2,WIDTH=10)	     20(20)	       0(0)	       0(0)	     0(0)	     0(0)	
       +genblk7.wr2rd_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=10)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=9)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=8)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=7)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=6)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=4)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	
              +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=3)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	
               +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=2)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	
  +UART_PERIPHERAL[2].uart:uart_peripheral(UART_FIFO_DEPTH=16)	     541(0)	      87(0)	     642(0)	     5(0)	     0(0)	
   +dt_module:dt_top                                        	     160(0)	      27(0)	      90(0)	     3(0)	     0(0)	
    +dt_fifo_51:dt_fifo                                     	      94(0)	      27(0)	      43(0)	     3(0)	     0(0)	
     +u_efx_fifo_top:efx_fifo_top_378d79e1dcb040219a2787531019ea5f_renamed_due_excessive_length_2	      94(4)	      27(0)	      43(0)	     3(0)	     0(0)	
      +xefx_fifo_ram:efx_fifo_ram_378d79e1dcb040219a2787531019ea5f(WR_DEPTH=256,RD_DEPTH=256,WDATA_WIDTH=51,RDATA_WIDTH=51,WADDR_WIDTH=8,RADDR_WIDTH=8,OUTPUT_REG=0,RAM_MUX_RATIO=1)	       0(0)	       0(0)	       0(0)	     3(3)	     0(0)	
      +xefx_fifo_ctl:efx_fifo_ctl_378d79e1dcb040219a2787531019ea5f(SYNC_CLK=0,WR_DEPTH=256,WADDR_WIDTH=8,RADDR_WIDTH=8,PROGRAMMABLE_FULL="STATIC_SINGLE",PROG_FULL_ASSERT=128,PROG_FULL_NEGATE=128,PROG_EMPTY_NEGATE=2)	     90(54)	     27(27)	     43(11)	     0(0)	     0(0)	
       +genblk7.xrd2wr_bin2gray:efx_fifo_bin2gray_378d79e1dcb040219a2787531019ea5f(WIDTH=9)	       0(0)	       0(0)	       8(8)	     0(0)	     0(0)	
       +genblk7.xrd2wr_addr_sync:efx_fifo_datasync_378d79e1dcb040219a2787531019ea5f(STAGE=2,WIDTH=9)	     18(18)	       0(0)	       0(0)	     0(0)	     0(0)	
       +genblk7.xrd2wr_gray2bin:efx_fifo_gray2bin_378d79e1dcb040219a2787531019ea5f(WIDTH=9)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_378d79e1dcb040219a2787531019ea5f(WIDTH=8)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_378d79e1dcb040219a2787531019ea5f(WIDTH=7)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_378d79e1dcb040219a2787531019ea5f(WIDTH=6)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_378d79e1dcb040219a2787531019ea5f	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_378d79e1dcb040219a2787531019ea5f(WIDTH=4)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_378d79e1dcb040219a2787531019ea5f(WIDTH=3)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	
              +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_378d79e1dcb040219a2787531019ea5f(WIDTH=2)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	
       +genblk7.wr2rd_bin2gray:efx_fifo_bin2gray_378d79e1dcb040219a2787531019ea5f(WIDTH=9)	       0(0)	       0(0)	       8(8)	     0(0)	     0(0)	
       +genblk7.wr2rd_addr_sync:efx_fifo_datasync_378d79e1dcb040219a2787531019ea5f(STAGE=2,WIDTH=9)	     18(18)	       0(0)	       0(0)	     0(0)	     0(0)	
       +genblk7.wr2rd_gray2bin:efx_fifo_gray2bin_378d79e1dcb040219a2787531019ea5f(WIDTH=9)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_378d79e1dcb040219a2787531019ea5f(WIDTH=8)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_378d79e1dcb040219a2787531019ea5f(WIDTH=7)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_378d79e1dcb040219a2787531019ea5f(WIDTH=6)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_378d79e1dcb040219a2787531019ea5f	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_378d79e1dcb040219a2787531019ea5f(WIDTH=4)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_378d79e1dcb040219a2787531019ea5f(WIDTH=3)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	
              +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_378d79e1dcb040219a2787531019ea5f(WIDTH=2)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	
    +dt_ctrl:dt_ctrl                                        	     66(66)	       0(0)	     47(47)	     0(0)	     0(0)	
   +uart:uart_phy(UART_FIFO_DEPTH=16)                       	     381(0)	      60(0)	     552(0)	     2(0)	     0(0)	
    +uart_wr_fifo:uart_fifo                                 	     104(0)	      30(0)	      48(0)	     1(0)	     0(0)	
     +u_efx_fifo_top:efx_fifo_top_64aa9fb1cea442bcb9c67251c1cac8c6_renamed_due_excessive_length_3	     104(4)	      30(0)	      48(0)	     1(0)	     0(0)	
      +xefx_fifo_ram:efx_fifo_ram_64aa9fb1cea442bcb9c67251c1cac8c6(OUTPUT_REG=0,RAM_MUX_RATIO=1)	       0(0)	       0(0)	       0(0)	     1(1)	     0(0)	
      +xefx_fifo_ctl:efx_fifo_ctl_64aa9fb1cea442bcb9c67251c1cac8c6(SYNC_CLK=0,PROGRAMMABLE_FULL="STATIC_SINGLE",PROG_FULL_ASSERT=128,PROG_FULL_NEGATE=128,PROG_EMPTY_NEGATE=2)	    100(60)	     30(30)	     48(12)	     0(0)	     0(0)	
       +genblk7.xrd2wr_bin2gray:efx_fifo_bin2gray_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=10)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	
       +genblk7.xrd2wr_addr_sync:efx_fifo_datasync_64aa9fb1cea442bcb9c67251c1cac8c6(STAGE=2,WIDTH=10)	     20(20)	       0(0)	       0(0)	     0(0)	     0(0)	
       +genblk7.xrd2wr_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=10)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=9)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=8)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=7)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=6)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=4)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	
              +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=3)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	
               +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=2)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	
       +genblk7.wr2rd_bin2gray:efx_fifo_bin2gray_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=10)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	
       +genblk7.wr2rd_addr_sync:efx_fifo_datasync_64aa9fb1cea442bcb9c67251c1cac8c6(STAGE=2,WIDTH=10)	     20(20)	       0(0)	       0(0)	     0(0)	     0(0)	
       +genblk7.wr2rd_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=10)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=9)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=8)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=7)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=6)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=4)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	
              +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=3)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	
               +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=2)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	
    +uart_write_ctrl:uart_ctrl                              	     12(12)	       0(0)	     14(14)	     0(0)	     0(0)	
    +uarttx:uart_tx                                         	     80(80)	       0(0)	   193(193)	     0(0)	     0(0)	
    +uartrx:uart_rx                                         	     81(81)	       0(0)	   249(249)	     0(0)	     0(0)	
    +uart_rd_fifo:uart_fifo                                 	     104(0)	      30(0)	      48(0)	     1(0)	     0(0)	
     +u_efx_fifo_top:efx_fifo_top_64aa9fb1cea442bcb9c67251c1cac8c6_renamed_due_excessive_length_3	     104(4)	      30(0)	      48(0)	     1(0)	     0(0)	
      +xefx_fifo_ram:efx_fifo_ram_64aa9fb1cea442bcb9c67251c1cac8c6(OUTPUT_REG=0,RAM_MUX_RATIO=1)	       0(0)	       0(0)	       0(0)	     1(1)	     0(0)	
      +xefx_fifo_ctl:efx_fifo_ctl_64aa9fb1cea442bcb9c67251c1cac8c6(SYNC_CLK=0,PROGRAMMABLE_FULL="STATIC_SINGLE",PROG_FULL_ASSERT=128,PROG_FULL_NEGATE=128,PROG_EMPTY_NEGATE=2)	    100(60)	     30(30)	     48(12)	     0(0)	     0(0)	
       +genblk7.xrd2wr_bin2gray:efx_fifo_bin2gray_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=10)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	
       +genblk7.xrd2wr_addr_sync:efx_fifo_datasync_64aa9fb1cea442bcb9c67251c1cac8c6(STAGE=2,WIDTH=10)	     20(20)	       0(0)	       0(0)	     0(0)	     0(0)	
       +genblk7.xrd2wr_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=10)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=9)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=8)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=7)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=6)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=4)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	
              +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=3)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	
               +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=2)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	
       +genblk7.wr2rd_bin2gray:efx_fifo_bin2gray_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=10)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	
       +genblk7.wr2rd_addr_sync:efx_fifo_datasync_64aa9fb1cea442bcb9c67251c1cac8c6(STAGE=2,WIDTH=10)	     20(20)	       0(0)	       0(0)	     0(0)	     0(0)	
       +genblk7.wr2rd_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=10)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=9)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=8)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=7)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=6)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=4)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	
              +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=3)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	
               +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=2)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	
  +GPIO_PERIPHERAL[0].GPIOPERIPHERAL:GPIO_PERIPHERAL        	     468(0)	      87(0)	     264(0)	     5(0)	     0(0)	
   +dt_module:dt_top                                        	     160(0)	      27(0)	      90(0)	     3(0)	     0(0)	
    +dt_fifo_51:dt_fifo                                     	      94(0)	      27(0)	      43(0)	     3(0)	     0(0)	
     +u_efx_fifo_top:efx_fifo_top_378d79e1dcb040219a2787531019ea5f_renamed_due_excessive_length_2	      94(4)	      27(0)	      43(0)	     3(0)	     0(0)	
      +xefx_fifo_ram:efx_fifo_ram_378d79e1dcb040219a2787531019ea5f(WR_DEPTH=256,RD_DEPTH=256,WDATA_WIDTH=51,RDATA_WIDTH=51,WADDR_WIDTH=8,RADDR_WIDTH=8,OUTPUT_REG=0,RAM_MUX_RATIO=1)	       0(0)	       0(0)	       0(0)	     3(3)	     0(0)	
      +xefx_fifo_ctl:efx_fifo_ctl_378d79e1dcb040219a2787531019ea5f(SYNC_CLK=0,WR_DEPTH=256,WADDR_WIDTH=8,RADDR_WIDTH=8,PROGRAMMABLE_FULL="STATIC_SINGLE",PROG_FULL_ASSERT=128,PROG_FULL_NEGATE=128,PROG_EMPTY_NEGATE=2)	     90(54)	     27(27)	     43(11)	     0(0)	     0(0)	
       +genblk7.xrd2wr_bin2gray:efx_fifo_bin2gray_378d79e1dcb040219a2787531019ea5f(WIDTH=9)	       0(0)	       0(0)	       8(8)	     0(0)	     0(0)	
       +genblk7.xrd2wr_addr_sync:efx_fifo_datasync_378d79e1dcb040219a2787531019ea5f(STAGE=2,WIDTH=9)	     18(18)	       0(0)	       0(0)	     0(0)	     0(0)	
       +genblk7.xrd2wr_gray2bin:efx_fifo_gray2bin_378d79e1dcb040219a2787531019ea5f(WIDTH=9)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_378d79e1dcb040219a2787531019ea5f(WIDTH=8)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_378d79e1dcb040219a2787531019ea5f(WIDTH=7)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_378d79e1dcb040219a2787531019ea5f(WIDTH=6)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_378d79e1dcb040219a2787531019ea5f	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_378d79e1dcb040219a2787531019ea5f(WIDTH=4)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_378d79e1dcb040219a2787531019ea5f(WIDTH=3)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	
              +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_378d79e1dcb040219a2787531019ea5f(WIDTH=2)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	
       +genblk7.wr2rd_bin2gray:efx_fifo_bin2gray_378d79e1dcb040219a2787531019ea5f(WIDTH=9)	       0(0)	       0(0)	       8(8)	     0(0)	     0(0)	
       +genblk7.wr2rd_addr_sync:efx_fifo_datasync_378d79e1dcb040219a2787531019ea5f(STAGE=2,WIDTH=9)	     18(18)	       0(0)	       0(0)	     0(0)	     0(0)	
       +genblk7.wr2rd_gray2bin:efx_fifo_gray2bin_378d79e1dcb040219a2787531019ea5f(WIDTH=9)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_378d79e1dcb040219a2787531019ea5f(WIDTH=8)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_378d79e1dcb040219a2787531019ea5f(WIDTH=7)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_378d79e1dcb040219a2787531019ea5f(WIDTH=6)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_378d79e1dcb040219a2787531019ea5f	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_378d79e1dcb040219a2787531019ea5f(WIDTH=4)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_378d79e1dcb040219a2787531019ea5f(WIDTH=3)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	
              +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_378d79e1dcb040219a2787531019ea5f(WIDTH=2)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	
    +dt_ctrl:dt_ctrl                                        	     66(66)	       0(0)	     47(47)	     0(0)	     0(0)	
   +GPIO_phy_dut:GPIO_phy                                   	     308(0)	      60(0)	     174(0)	     2(0)	     0(0)	
    +gpio_wr_fifo:uart_fifo                                 	     104(0)	      30(0)	      49(0)	     1(0)	     0(0)	
     +u_efx_fifo_top:efx_fifo_top_64aa9fb1cea442bcb9c67251c1cac8c6_renamed_due_excessive_length_3	     104(4)	      30(0)	      49(0)	     1(0)	     0(0)	
      +xefx_fifo_ram:efx_fifo_ram_64aa9fb1cea442bcb9c67251c1cac8c6(OUTPUT_REG=0,RAM_MUX_RATIO=1)	       0(0)	       0(0)	       0(0)	     1(1)	     0(0)	
      +xefx_fifo_ctl:efx_fifo_ctl_64aa9fb1cea442bcb9c67251c1cac8c6(SYNC_CLK=0,PROGRAMMABLE_FULL="STATIC_SINGLE",PROG_FULL_ASSERT=128,PROG_FULL_NEGATE=128,PROG_EMPTY_NEGATE=2)	    100(60)	     30(30)	     49(13)	     0(0)	     0(0)	
       +genblk7.xrd2wr_bin2gray:efx_fifo_bin2gray_64aa9fb1cea442bcb9c67251c1cac8c6(WIDTH=10)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	
